CodeCommune;NomCommune;Montagne;ZoneDefavoriseeSimple;ZoneHandicapSpecifique
4228;VALAVOIRE;M;;
4229;VALBELLE;M;;
4230;VALENSOLE;;;ZHS
4231;VALERNES;M;;
4233;VAUMEILH;M;;
4234;VENTEROL ;M;;
4235;VERDACHES;M;;
4236;VERGONS;M;;
4237;LE VERNET;M;;
4240;VILLARS-COLMARS;M;;
4241;VILLEMUS;M;;
4244;VOLONNE;M;;
5001;ABRIES;M;;
5003;AIGUILLES;M;;
5004;ANCELLE;M;;
5006;L'ARGENTIERE-LA-BESSEE;M;;
5007;ARVIEUX;M;;
5008;ASPREMONT;M;;
5009;ASPRES-LES-CORPS;M;;
5010;ASPRES-SUR-BUECH;M;;
5011;AVANCON;M;;
5012;BARATIER;M;;
5013;BARCILLONNETTE;M;;
5014;BARRET-LE-BAS;M;;
5016;LA BATIE-MONTSALEON;M;;
5017;LA BATIE-NEUVE;M;;
5018;LA BATIE-VIEILLE;M;;
5019;LA BEAUME;M;;
5021;LE BERSAC;M;;
5022;BREZIERS;M;;
5023;BRIANCON;M;;
5024;BRUIS;M;;
5025;BUISSARD;M;;
5026;CEILLAC;M;;
5027;CERVIERES;M;;
5028;CHABESTAN;M;;
5029;CHABOTTES;M;;
5031;CHAMPCELLA;M;;
5032;CHAMPOLEON;M;;
5033;CHANOUSSE;M;;
5035;CHATEAUNEUF-D'OZE;M;;
5036;CHATEAUROUX-LES-ALPES;M;;
5037;CHATEAUVIEUX;M;;
5038;CHATEAU-VILLE-VIEILLE;M;;
5039;CHAUFFAYER;M;;
5040;CHORGES;M;;
5043;LES COSTES;M;;
5044;CREVOUX;M;;
5045;CROTS;M;;
5046;EMBRUN;M;;
5047;EOURRES;M;;
5048;L'EPINE;M;;
5049;ESPARRON;M;;
5050;ESPINASSES;M;;
5051;ETOILE-SAINT-CYRICE;M;;
5052;EYGLIERS;M;;
5053;GARDE-COLOMBE;M;;
5054;LA FARE-EN-CHAMPSAUR;M;;
5055;LA FAURIE;M;;
5056;FOREST-SAINT-JULIEN;M;;
5057;FOUILLOUSE;M;;
5058;FREISSINIERES;M;;
5059;LA FREISSINOUSE;M;;
5060;FURMEYER;M;;
5061;GAP;M;;
5062;LE GLAIZIL;M;;
5063;LA GRAVE;M;;
5064;LA CHAPELLE-EN-VALGAUDEMAR;M;;
5065;GUILLESTRE;M;;
5066;LA HAUTE-BEAUME;M;;
5068;JARJAYES;M;;
5070;LARAGNE-MONTEGLIN;M;;
5071;LARDIER-ET-VALENCA;M;;
5072;LAYE;M;;
5073;LAZER;M;;
5074;LETTRET;M;;
5075;MANTEYER;M;;
5076;MEREUIL;M;;
5077;MOLINES-EN-QUEYRAS;M;;
5078;MONETIER-ALLEMONT;M;;
5079;LE MONETIER-LES-BAINS;M;;
5080;MONTBRAND;M;;
5081;MONTCLUS;M;;
5082;MONT-DAUPHIN;M;;
5084;MONTGARDIN;M;;
5085;MONTGENEVRE;M;;
5086;MONTJAY;M;;
5087;MONTMAUR;M;;
5088;MONTMORIN;M;;
5089;MONTROND;M;;
5090;LA MOTTE-EN-CHAMPSAUR;M;;
5091;MOYDANS;M;;
5092;NEFFES;M;;
5093;NEVACHE;M;;
5094;NOSSAGE-ET-BENEVENT;M;;
5095;LE NOYER;M;;
5096;ORCIERES;M;;
5097;ORPIERRE;M;;
5098;LES ORRES;M;;
5099;OZE;M;;
5100;PELLEAUTIER;M;;
5101;VALLOUISE-PELVOUX;M;;
5102;LA PIARRE;M;;
5103;LE POET;M;;
5104;POLIGNY;M;;
5106;PRUNIERES;M;;
5107;PUY-SAINT-ANDRE;M;;
